"","p.name","p.id","p.owner","track.name","track.id","added.at","track.duration","track.popularity","track.dance","track.energy","track.key","track.loudness","track.speechiness","track.acousticness","track.instrumentalness","track.liveness","track.valence","track.tempo"
"1","Apr2017","32dlhauJfDaSzWongsjpfC","mark.rossi.06","This Girl (feat. Kylie Auldist)","7uGIgDgyL1u7nIZmjlxd6w","2017-04-01T17:34:35Z",224000,27,0.619,0.76,0,-3.91,0.0295,0.518,5.69e-05,0.194,0.636,101.018
"2","Apr2017","32dlhauJfDaSzWongsjpfC","mark.rossi.06","OooWee","6pzWZe7LIcfKzriMIk6opx","2017-04-01T23:54:30Z",270785,48,0.432,0.652,1,-8.745,0.32,0.00211,0,0.158,0.273,76.859
"3","Apr2017","32dlhauJfDaSzWongsjpfC","mark.rossi.06","Answer My Text","3JOqGqHbmbDVxwK2CSxoOk","2017-04-01T23:54:38Z",167835,53,0.551,0.512,2,-6.444,0.0309,0.0588,0,0.175,0.71,97.021
"4","Apr2017","32dlhauJfDaSzWongsjpfC","mark.rossi.06","Throne","5boFbh01VGCDkeYlJ06LPl","2017-04-03T13:57:16Z",185000,39,0.555,0.021,11,-20.232,0.0767,0.686,9.22e-06,0.331,0.269,119.88
"5","Apr2017","32dlhauJfDaSzWongsjpfC","mark.rossi.06","To Move On","25RPGkDBvks5Nr5e4sOM21","2017-04-03T14:39:46Z",214764,49,0.593,0.332,9,-7.609,0.0399,0.701,0.019,0.162,0.707,190.129
"6","Apr2017","32dlhauJfDaSzWongsjpfC","mark.rossi.06","Sigh of Relief","5yRmhyDpBOaz2jYI45lHhp","2017-04-03T15:33:31Z",226466,20,0.559,0.683,9,-6.618,0.0359,0.0656,0.000734,0.099,0.296,97.909
"7","Apr2017","32dlhauJfDaSzWongsjpfC","mark.rossi.06","We Go Home Together","71MGOqJ6rbrIQDoOeFIe5W","2017-04-03T16:10:00Z",155439,57,0.306,0.445,7,-11.259,0.0532,0.279,0.0537,0.324,0.0907,101.062
"8","Apr2017","32dlhauJfDaSzWongsjpfC","mark.rossi.06","Gems","7JrUNlHI9dSiqCTsrg8QBt","2017-04-05T15:25:35Z",267859,29,0.611,0.621,6,-5.634,0.0272,0.249,0.0066,0.14,0.233,90.019
"9","Apr2017","32dlhauJfDaSzWongsjpfC","mark.rossi.06","Eagle Moon","0A7F2NCOI7g0uDaDiB8K1X","2017-04-06T18:17:22Z",225959,58,0.669,0.715,7,-7.122,0.0334,0.795,0.884,0.0967,0.812,67.995
"10","Apr2017","32dlhauJfDaSzWongsjpfC","mark.rossi.06","Lost In The Light","25J4d78ESH2MgAJoIakB8O","2017-04-06T15:20:21Z",236720,63,0.601,0.262,2,-8.743,0.0344,0.804,0.0012,0.111,0.213,76.349
"11","Apr2017","32dlhauJfDaSzWongsjpfC","mark.rossi.06","Pockets Full Of No","3CMF7iCU5GZ5EDcxM2tZVn","2017-04-06T14:53:28Z",203400,54,0.613,0.755,10,-4.897,0.127,0.175,0.00303,0.168,0.813,166.036
"12","Apr2017","32dlhauJfDaSzWongsjpfC","mark.rossi.06","Saint","1gT1xuNX4TRaR7kz8vHz6b","2017-04-06T15:53:37Z",159863,51,0.648,0.592,6,-7.903,0.0942,0.644,0,0.384,0.53,98.38
"13","Apr2017","32dlhauJfDaSzWongsjpfC","mark.rossi.06","Laid Back and Loaded","3GrvavIvzviYvk6puj1Vpj","2017-04-06T22:07:37Z",217413,34,0.728,0.925,7,-6.691,0.0464,0.00446,0.49,0.0893,0.474,117.009
"14","Apr2017","32dlhauJfDaSzWongsjpfC","mark.rossi.06","Nightcrawler","2lKoi37YtYlhGxBYDfXk8B","2017-04-07T22:34:47Z",270930,63,0.866,0.414,2,-9.405,0.0516,0.109,0.876,0.104,0.244,122.015
"15","Apr2017","32dlhauJfDaSzWongsjpfC","mark.rossi.06","Oh Yeah","5c16qTJKks2JuaKzKPv87g","2017-04-08T01:13:42Z",316893,44,0.449,0.702,0,-6.288,0.0518,0.121,0.0216,0.0733,0.894,174.573
"16","Apr2017","32dlhauJfDaSzWongsjpfC","mark.rossi.06","Redbone","2Uvy6SkNqxvnH1W68dymxG","2017-04-09T15:30:48Z",326933,78,0.745,0.359,1,-10.429,0.112,0.192,0.00628,0.138,0.561,160.123
"17","Apr2017","32dlhauJfDaSzWongsjpfC","mark.rossi.06","Playing for You","3vslWaSUsWvTH0fC5ddWbv","2017-04-10T03:57:32Z",258895,61,0.545,0.591,11,-8.213,0.153,0.057,8.26e-06,0.12,0.361,85.014
"18","Apr2017","32dlhauJfDaSzWongsjpfC","mark.rossi.06","Do You Go Up","3yHl63aucGapvq5m3B18g0","2017-04-10T04:07:25Z",193000,56,0.5,0.219,1,-14.517,0.178,0.938,0.00348,0.103,0.214,97.146
"19","Apr2017","32dlhauJfDaSzWongsjpfC","mark.rossi.06","What We Had","7vz8Jb34YkATa0MIuqdCCs","2017-04-10T21:52:11Z",280226,1,0.729,0.455,1,-9.026,0.0467,0.414,0.843,0.101,0.739,79.993
"20","Apr2017","32dlhauJfDaSzWongsjpfC","mark.rossi.06","Friends Like These","1KUTyOFT5iodmzaiytg0ME","2017-04-10T21:58:42Z",291560,1,0.648,0.644,4,-9.188,0.101,0.65,0.901,0.0931,0.668,172.14
