"","p.name","p.id","p.owner","track.name","track.id","added.at","track.duration","track.popularity","track.dance","track.energy","track.key","track.loudness","track.speechiness","track.acousticness","track.instrumentalness","track.liveness","track.valence","track.tempo"
"1","spring 2017","19RQIkjhlzpg1VtjVy7CYg","122715968","New","5kdBV2L7K9ptDDWWjRHU55","2017-03-02T22:13:57Z",288597,24,0.423,0.729,7,-6.094,0.0299,0.0166,0.0117,0.122,0.486,164.038
"2","spring 2017","19RQIkjhlzpg1VtjVy7CYg","122715968","Black Francis","16dEB7EeEufDoo0QFXRn7p","2017-03-02T22:14:10Z",158133,47,0.506,0.897,4,-4.223,0.0427,0.000186,0.000418,0.17,0.633,121.247
"3","spring 2017","19RQIkjhlzpg1VtjVy7CYg","122715968","Tonight I'll Be Staying Here With You - Recorded at Spotify Studios NYC","0CLtsfTgbVXORxfwqUbcVc","2017-03-02T22:15:34Z",215237,50,0.496,0.752,9,-5.112,0.0583,0.558,0.0166,0.0334,0.582,156.385
"4","spring 2017","19RQIkjhlzpg1VtjVy7CYg","122715968","Keep It Together","4DUSc3a9e0OT1OsSDfpLQk","2017-03-02T22:15:58Z",147293,35,0.53,0.884,5,-5.167,0.0351,0.0276,0.229,0.121,0.7,108.868
"5","spring 2017","19RQIkjhlzpg1VtjVy7CYg","122715968","Hamilton Road","5q5kJjS2PE1gPS9AH9T2oF","2017-03-02T22:16:05Z",144773,48,0.6,0.77,1,-5.209,0.0278,0.348,0.95,0.168,0.764,111.127
"6","spring 2017","19RQIkjhlzpg1VtjVy7CYg","122715968","Hiding In The Melody","3Uej3YvulV3pOZNx7EQ7Si","2017-03-02T22:16:15Z",446760,32,0.218,0.722,4,-4.901,0.0369,0.00708,0.121,0.0206,0.343,137.2
"7","spring 2017","19RQIkjhlzpg1VtjVy7CYg","122715968","1612","39rHfrVqCX6A55GF7uOZSC","2017-03-02T22:16:20Z",199639,58,0.678,0.392,0,-11.328,0.274,0.177,0.0045,0.0839,0.721,171.274
"8","spring 2017","19RQIkjhlzpg1VtjVy7CYg","122715968","Double Feature","2IemL6UgkbZXdpHNhsO1Dp","2017-03-02T22:16:24Z",438333,43,0.562,0.706,4,-6.99,0.0409,0.000136,0.246,0.117,0.528,121.687
"9","spring 2017","19RQIkjhlzpg1VtjVy7CYg","122715968","Hello","7jd5uEZmDFhIzHkvAbMHMC","2017-03-02T22:16:35Z",105058,36,0.744,0.597,2,-8.41,0.0754,0.424,0.00418,0.0996,0.792,81.451
"10","spring 2017","19RQIkjhlzpg1VtjVy7CYg","122715968","Alabama West","66Te5H0WmxMqxvSouLnRcd","2017-03-02T22:16:41Z",78946,26,0.397,0.514,7,-7.541,0.0364,0.372,0.161,0.32,0.255,94.734
"11","spring 2017","19RQIkjhlzpg1VtjVy7CYg","122715968","How To Fly","3jAoLij05OiNndX2XlSRdS","2017-03-03T18:25:22Z",202186,66,0.676,0.645,8,-9.335,0.0992,0.159,0.00172,0.106,0.553,151.058
"12","spring 2017","19RQIkjhlzpg1VtjVy7CYg","122715968","Jarmin in the Dark","1rtv2Qo1W2Rosrk1r9Khmw","2017-03-06T15:14:35Z",314226,46,0.61,0.658,1,-5.565,0.0537,0.0727,0.000514,0.318,0.479,79.968
"13","spring 2017","19RQIkjhlzpg1VtjVy7CYg","122715968","Bellyache","51NFxnQvaosfDDutk0tams","2017-03-06T19:31:41Z",179172,67,0.7,0.578,4,-8.586,0.0997,0.472,0.048,0.543,0.42,99.983
"14","spring 2017","19RQIkjhlzpg1VtjVy7CYg","122715968","Kerala","3AuSogI89rld1KqfUpL3Np","2017-03-07T16:40:35Z",237546,63,0.529,0.739,7,-9.578,0.0718,0.0237,0.607,0.171,0.132,124.75
"15","spring 2017","19RQIkjhlzpg1VtjVy7CYg","122715968","Be Happy","4sddTfjbOofIcI1LE0UEEo","2017-03-07T16:40:51Z",229090,33,0.507,0.83,11,-3.728,0.0848,0.00595,0.13,0.52,0.408,87.522
"16","spring 2017","19RQIkjhlzpg1VtjVy7CYg","122715968","Stupid Rose","5UO7PbqKIVIijPgEBNPEd1","2017-03-07T16:40:57Z",238546,51,0.897,0.518,8,-7.535,0.357,0.0839,0.000161,0.104,0.686,128.016
"17","spring 2017","19RQIkjhlzpg1VtjVy7CYg","122715968","My Crew (Woooo)","28HIbdg5wN3tAauT6dimWi","2017-03-07T16:41:10Z",193306,44,0.682,0.83,6,-2.669,0.247,0.377,3.96e-06,0.196,0.816,75.082
"18","spring 2017","19RQIkjhlzpg1VtjVy7CYg","122715968","Dear To Me","3VO0U2DVygGG6MdGe9AUxG","2017-03-07T19:06:11Z",240733,37,0.732,0.578,1,-7.058,0.0361,0.0579,0.0437,0.109,0.578,117.685
"19","spring 2017","19RQIkjhlzpg1VtjVy7CYg","122715968","Little Brother","2nee1ADU7skh07cCf7xq8C","2017-03-07T20:39:28Z",215346,63,0.768,0.402,5,-9.624,0.0389,0.0417,0.0431,0.0866,0.275,144.94
"20","spring 2017","19RQIkjhlzpg1VtjVy7CYg","122715968","Feel It Still","7FESgYLcOufHqKlwrvJN60","2017-03-08T19:01:00Z",163250,78,0.78,0.798,1,-5.151,0.0613,0.0406,6.31e-05,0.0733,0.777,78.969
"21","spring 2017","19RQIkjhlzpg1VtjVy7CYg","122715968","Numb","3Ch2Tn2kkSjnGGD5rDqbEG","2017-03-08T19:37:19Z",237621,37,0.632,0.91,3,-4.532,0.0294,0.143,5.84e-05,0.494,0.862,119.98
"22","spring 2017","19RQIkjhlzpg1VtjVy7CYg","122715968","Simple As This","59xYAblNy1Xr4U1IsJ3gZb","2017-03-10T04:02:56Z",199453,54,0.616,0.58,8,-8.059,0.0259,0.607,0,0.0968,0.676,96.977
"23","spring 2017","19RQIkjhlzpg1VtjVy7CYg","122715968","Café","5YW0FJdrpTWJD3AQnjw1YT","2017-03-10T20:13:25Z",238979,36,0.801,0.626,8,-5.807,0.0675,0.377,0.811,0.153,0.261,82.026
"24","spring 2017","19RQIkjhlzpg1VtjVy7CYg","122715968","In the Morning I'll Be Better","5VInquHZfK0VU1UOwwB3Hx","2017-03-12T20:31:03Z",213173,39,0.343,0.607,0,-5.048,0.0357,0.632,0.00808,0.0824,0.587,155.579
"25","spring 2017","19RQIkjhlzpg1VtjVy7CYg","122715968","Modern Woman","1EpOAPUvsjcFNO3P95HL5z","2017-03-14T17:19:31Z",243893,46,0.379,0.418,9,-7.962,0.0395,0.831,0.00395,0.217,0.267,176.362
"26","spring 2017","19RQIkjhlzpg1VtjVy7CYg","122715968","Body High","6d3qn99YVl3IrTQH68lE5t","2017-03-14T17:32:15Z",189573,62,0.431,0.579,1,-8.475,0.0511,0.534,0.0689,0.132,0.503,128.954
"27","spring 2017","19RQIkjhlzpg1VtjVy7CYg","122715968","Secret Sunday Lover - Greg Wilson Edit","7JKU3IlboUxnU6HINn0l9X","2017-03-14T17:32:39Z",424449,31,0.781,0.54,6,-10.129,0.0611,0.0134,0.792,0.297,0.694,111.99
"28","spring 2017","19RQIkjhlzpg1VtjVy7CYg","122715968","Gold Angel","6NaRzSvVxqv2DC2eg039gB","2017-03-14T17:32:53Z",261693,65,0.723,0.539,7,-9.385,0.038,0.64,0.526,0.0819,0.12,99.996
"29","spring 2017","19RQIkjhlzpg1VtjVy7CYg","122715968","Tired Boy","4SkTfsjWUy2rp40d2Ayfmv","2017-03-14T17:34:10Z",255049,52,0.661,0.391,4,-4.24,0.0413,0.616,0.856,0.0878,0.252,82.819
"30","spring 2017","19RQIkjhlzpg1VtjVy7CYg","122715968","Young Hearts","3bp1AbnMkaCXELQXovwRdb","2017-03-14T17:38:06Z",218503,58,0.726,0.501,8,-10.018,0.0335,0.198,0.0173,0.131,0.18,119.069
"31","spring 2017","19RQIkjhlzpg1VtjVy7CYg","122715968","Unholy War","0Aos40bFtuS6KjahK5d861","2017-03-14T17:38:29Z",209252,52,0.678,0.591,11,-5.33,0.0396,0.441,1.8e-06,0.0565,0.651,90.011
"32","spring 2017","19RQIkjhlzpg1VtjVy7CYg","122715968","Wait","0lUO60zSnd20AlKB5Wg0qS","2017-03-14T17:38:37Z",214436,68,0.769,0.465,4,-7.765,0.0634,0.197,0.0181,0.155,0.179,98.011
"33","spring 2017","19RQIkjhlzpg1VtjVy7CYg","122715968","Magazine","3gorDsr63lbbOYorK6Sp5i","2017-03-14T17:38:57Z",234947,31,0.509,0.547,2,-6.837,0.137,0.707,0.0584,0.28,0.733,170.061
"34","spring 2017","19RQIkjhlzpg1VtjVy7CYg","122715968","BagBak","0ylljWEG3ggkTlQbnUZb3Q","2017-03-14T17:40:17Z",160506,63,0.762,0.81,1,-4.528,0.101,0.0463,0.000364,0.146,0.902,81.984
"35","spring 2017","19RQIkjhlzpg1VtjVy7CYg","122715968","DGAF","6RykU7UHfRf4ojm7rxS1h0","2017-03-14T17:40:36Z",197482,56,0.8,0.548,9,-6.721,0.0555,0.242,0.000242,0.0741,0.255,134.103
"36","spring 2017","19RQIkjhlzpg1VtjVy7CYg","122715968","blkjuptr","08bymSahrAUpabFR6YSiy9","2017-03-15T13:30:18Z",198880,56,0.556,0.373,11,-10.863,0.48,0.313,0,0.272,0.481,111.164
"37","spring 2017","19RQIkjhlzpg1VtjVy7CYg","122715968","My Old Man","1Cf943IKq0bhdBv4VfdOcd","2017-03-15T15:36:56Z",221653,65,0.658,0.575,1,-11.493,0.0332,0.677,0.253,0.0985,0.835,149.274
"38","spring 2017","19RQIkjhlzpg1VtjVy7CYg","122715968","Mirror of Time","0gX5cofGygacJQn9YZZBCS","2017-03-15T17:16:21Z",140182,36,0.426,0.783,11,-4.868,0.0324,0.000393,0.877,0.0904,0.34,118.19
